"title","imdb_id","genres","overview","poster_path"
"Life Is Sweet","100024","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Just north of London live Wendy, Andy, and their twenty-something twins, Natalie and Nicola. Wendy clerks in a shop, leads aerobics at a primary school, jokes like a vaudevillian, agrees to waitress at a friend's new restaurant and dotes on Andy, a cook who forever puts off home remodeling projects, and with a drunken friend, buys a broken down lunch wagon. Natalie, with short neat hair and a snappy, droll manner, is a plumber; she has a holiday planned in America, but little else. Last is Nicola, odd man out: a snarl, big glasses, cigarette, mussed hair, jittery fingers, bulimic, jobless, and unhappy. How they interact and play out family conflict and love is the film's subject.","/p6zgpGIz5PhslLm09FzzDKFshOg.jpg"
"The Long Walk Home","100046","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","Two women, black and white, in 1955 Montgomery Alabama, must decide what they are going to do in response to the famous bus boycott lead by Martin Luther King.","/qdV0BSmAnyH8Uc4EcAmiTcy89RM.jpg"
"Longtime Companion","100049","[{'id': 18, 'name': 'Drama'}]","Longtime Companion follows the lives of a small circle of friends from the first mention of the disease in the New York Times in 1981. First referred to as ""Gay-Related-Immune-Disorder,"" we watch the effect of the disease as it devastates the lives of our protagonists. Jumping between Manhattan and Fire Island, vignettes carry us from the it-couldn't-happen-to-me mentality of the early days of the disease to the invasive effect it has had on all of our lives, today. The title of the film comes from the New York Times' refusal to acknowledge homosexual relationships in their obituary section during this period. Instead, survivors were referred to as ""Longtime Companions"" of the deceased","/maFDW8V0GFVeSRLeVUbSpgEUR6A.jpg"
"Look Who's Talking Too","100050","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.","/7HtSFUYBPOUd9ylUXU0LyPsxpRm.jpg"
"Louis Theroux: The Most Hated Family in America","1000764","[{'id': 99, 'name': 'Documentary'}]","Louis meets the Phelps family — the people at the heart of the controversial Westboro Baptist Church. The Phelps have rabid anti-homosexual beliefs, and often campaign at the funerals of American soldiers. They believe that every tragedy in the world is God's punishment for homosexuality.","/skdJKECKh77w3rt9QgeBTipw9ul.jpg"
"Recount","1000771","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","A chronicle of the weeks after the 2000 U.S. presidential election and the subsequent recounts in Florida.","/7qTLgpaMlaxsZlJpDWFQrJ2u3Iy.jpg"
"Sex and the City","1000774","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.","/5fuWykynmiJ07fKA84BVxxuiGHx.jpg"
"Marked for Death","100114","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","Just retired from the Drug Enforcement Agency, John Hatcher (Seagal) returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses pathes with a ferocious Jamaican druglord who vowes that Hatcher and his family are now marked for death.","/sG7iM5l9GJoaYsmOdT6twtxZDF6.jpg"
"Memphis Belle","100133","[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]","The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Dresden, a heavily-defended city that invariably causes many Allied casualties","/47LvV0urbkr8fEGEZHijD0GZReS.jpg"
"Men Don't Leave","100134","[{'id': 18, 'name': 'Drama'}]","After her husband John dies unexpectedly, Beth Macauley is unprepared for life without him. She is unemployed with no job skills and $60,000 in debt from on-going renovations to their house located in suburban Bingham. She doesn't know what to do but sell what material possessions she has, such as the family pick-up truck and the house, and move into an apartment in the city, namely Baltimore. Beth just wants to survive by finding a job she doesn't dislike, and keep her family together while trying to maintain her sanity and sense of self-worth","/nG4QJg4ukabGAgbmANMCNBxUtp1.jpg"
"Men at Work","100135","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","Two garbage men find the body of a city councilman in a trash can on their route. With help from a supervisor, the duo must solve the case and find the man's killer while hiding the body from the cops.","/bp8jAYNfsSkGLA9ugQLWW45AeL9.jpg"
"Mermaids","100140","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.","/tNsXSCYB9UVeznlKjgFPoLt5eke.jpg"
"Metropolitan","100142","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","A sparkling comedic chronicle of a middle-class young man’s romantic misadventures among New York City’s debutante society. Stillman’s deft, literate dialogue and hilariously highbrow observations earned this debut film an Academy Award nomination for Best Original Screenplay. Alongside the wit and sophistication, though, lies a tender tale of adolescent anxiety.","/9L1D4WVc4vRdD3kfjMtE6LOVy1g.jpg"
"Miami Blues","100143","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","When Fred gets out of prison, he decides to start over in Miami, where he starts a violent one-man crime wave. He soon meets up with amiable college student Susie. Opposing Fred is Sgt Hoke Moseley, a cop who is getting a bit old for the job, especially since the job of cop in 1980's Miami is getting crazier all the time.","/vgNn0b7dkP8fnsxG9dCFdL9OM96.jpg"
"Miller's Crossing","100150","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.","/gmUAhNHY4bxQzgHjXci5JAW7u62.jpg"
